Flight_Number,Route,Delay_Cluster,Cascading_Impact_Score
AI2509,BOM-IXC,3,32.1
AI2625,BOM-HYD,3,12.071666666666665
6E762,BOM-DEL,3,6.300000000000001
QP1891,BOM-SXR,3,26.999999999999996
6E5352,BOM-BLR,3,5.091666666666667
6E1185,BOM-CMB,2,37.400000000000006
6E5349,BOM-NAG,3,26.516666666666666
QO342,BOM-DEL,3,11.776666666666667
6E6794,BOM-UDR,3,24.994999999999997
6E446,BOM-AMD,3,22.464999999999996
6E5223,BOM-RPR,3,15.533333333333331
OV760,BOM-MCT,2,41.68166666666667
6E5188,BOM-MAA,3,10.025
GF57,BOM-BAH,2,42.57
AI2603,BOM-BLR,3,29.818333333333328
AI2428,BOM-DEL,3,20.796666666666667
TK721,BOM-IST,1,37.225
6E294,BOM-IDR,3,6.321666666666667
AI2771,BOM-CCU,3,11.494999999999997
6E1601,BOM-CGK,1,19.491666666666664
AI2739,BOM-MAA,3,24.02833333333333
QP1518,BOM-COK,0,57.705
AI645,BOM-JDH,3,16.60833333333333
6E6057,BOM-GOX,3,17.083333333333332
AI2863,BOM-BLR,3,11.511666666666667
AI2960,BOM-DEL,3,30.641666666666666
BA134,BOM-LHR,1,42.43333333333333
S5161,BOM-KLH,0,45.2
6E1305,BOM-DOH,2,31.785
AI2663,BOM-SXR,3,24.859999999999996
6E1115,BOM-DAC,2,34.59166666666667
6E2264,BOM-IXC,2,47.055
AI2579,BOM-UDR,0,61.11
6E5092,BOM-BLR,3,21.865
6E5313,BOM-MAA,2,47.97666666666666
AI2430,BOM-DEL,2,36.17166666666667
6E5165,BOM-CCU,3,24.248333333333335
AI2107,BOM-SIN,1,26.606666666666666
AI2877,BOM-HYD,2,28.326666666666668
6E791,BOM-JLR,3,10.781666666666665
EK505,BOM-DXB,2,40.15166666666667
AI695,BOM-VNS,3,20.259999999999998
6E5181,BOM-IDR,2,36.75833333333333
6E521,BOM-ATQ,2,33.58833333333334
AI633,BOM-BHO,2,43.881666666666675
AI2994,BOM-DEL,2,38.531666666666666
6E535,BOM-DBR,2,53.55166666666667
6E624,BOM-TRV,2,45.17166666666667
6E6118,BOM-TRZ,2,41.51
6E6087,BOM-CNN,2,52.87666666666667
6E5321,BOM-HSR,2,48.66166666666667
QP1529,BOM-DBR,0,57.401666666666664
AI673,BOM-PAT,2,34.97833333333334
VS355,BOM-LHR,1,53.915
6E673,BOM-COK,0,52.540000000000006
AI611,BOM-JAI,2,31.595
AI647,BOM-JGA,2,44.428333333333335
AI2444,BOM-HYD,2,47.70666666666666
QP1385,BOM-IXB,2,50.436666666666675
ET641,BOM-ADD,2,32.89
SV771,BOM-JED,2,42.31166666666667
6E1157,BOM-KTM,0,55.52833333333333
EY201,BOM-AUH,2,49.40166666666667
6E5307,BOM-GOI,2,34.19166666666667
6E5316,BOM-BEK,2,50.671666666666674
6E6827,BOM-DEL,2,51.23166666666667
9I623,BOM-DIU,0,63.10666666666667
AI2632,BOM-BLR,2,49.14666666666667
SG2905,BOM-IXY,0,58.83166666666667
AI2841,BOM-GOI,2,44.34
6E5217,BOM-BLR,2,45.50166666666667
AI2419,BOM-DEL,3,24.43
AI2471,BOM-CCU,2,32.016666666666666
SQ421,BOM-SIN,1,50.915
6E5206,BOM-MAA,0,57.416666666666664
6E5097,BOM-HYD,2,45.406666666666666
AI2503,BOM-CJB,3,8.723333333333331
6E5276,BOM-GWL,3,20.069999999999997
AI2509,BOM-IXC,3,10.2
AI2625,BOM-HYD,3,20.415
6E762,BOM-DEL,3,21.970000000000002
QP1891,BOM-SXR,3,7.608333333333333
6E5352,BOM-BLR,3,5.5
6E1185,BOM-CMB,2,30.823333333333334
6E5349,BOM-NAG,3,8.795
QO342,BOM-DEL,3,20.121666666666666
6E6794,BOM-UDR,3,15.111666666666666
6E446,BOM-AMD,3,17.03333333333333
6E5223,BOM-RPR,3,16.726666666666667
OV760,BOM-MCT,2,37.49333333333334
6E5188,BOM-MAA,3,16.005
GF57,BOM-BAH,3,27.883333333333333
AI2603,BOM-BLR,3,12.07
AI2428,BOM-DEL,2,36.641666666666666
TK721,BOM-IST,1,23.466666666666665
6E294,BOM-IDR,3,16.78333333333333
AI2771,BOM-CCU,3,24.723333333333333
6E1601,BOM-CGK,3,15.029999999999998
AI2739,BOM-MAA,3,22.504999999999995
QP1518,BOM-COK,0,54.99
AI645,BOM-JDH,3,21.401666666666664
6E6057,BOM-GOX,3,17.696666666666665
AI2863,BOM-BLR,3,29.511666666666663
AI2960,BOM-DEL,2,36.995
BA134,BOM-LHR,1,51.16
S5161,BOM-KLH,2,27.833333333333332
6E1305,BOM-DOH,2,34.42666666666668
AI2663,BOM-SXR,3,25.768333333333334
6E1115,BOM-DAC,2,28.598333333333333
6E2264,BOM-IXC,2,39.84666666666667
AI2579,BOM-UDR,0,61.68666666666666
6E5092,BOM-BLR,3,27.564999999999998
6E5313,BOM-MAA,2,43.49999999999999
AI2430,BOM-DEL,2,40.665000000000006
6E5165,BOM-CCU,3,21.85666666666667
AI2107,BOM-SIN,1,46.10333333333333
AI2877,BOM-HYD,2,38.89
6E791,BOM-JLR,3,28.199999999999996
EK505,BOM-DXB,2,41.10333333333334
AI695,BOM-VNS,3,20.25666666666666
6E5181,BOM-IDR,3,23.854999999999993
6E521,BOM-ATQ,3,15.841666666666663
AI633,BOM-BHO,2,51.02666666666668
AI2994,BOM-DEL,2,40.655
6E535,BOM-DBR,2,38.85666666666666
6E624,BOM-TRV,2,43.333333333333336
6E6118,BOM-TRZ,2,42.70666666666667
6E6087,BOM-CNN,2,37.870000000000005
6E5321,BOM-HSR,3,28.825
QP1529,BOM-DBR,0,64.84833333333333
AI673,BOM-PAT,2,44.01166666666667
VS355,BOM-LHR,1,58.13666666666667
6E673,BOM-COK,0,51.946666666666665
AI611,BOM-JAI,3,9.991666666666665
AI647,BOM-JGA,2,51.25833333333334
AI2444,BOM-HYD,2,34.82333333333333
QP1385,BOM-IXB,2,46.501666666666665
ET641,BOM-ADD,1,53.575
SV771,BOM-JED,2,30.676666666666666
6E1157,BOM-KTM,0,62.69833333333333
EY201,BOM-AUH,2,50.021666666666675
6E5307,BOM-GOI,2,47.995
6E5316,BOM-BEK,0,59.12166666666667
6E6827,BOM-DEL,0,58.443333333333335
