Hour_Adjustment,Minute_Adjustment,New_STD_Hour,New_STD_Minute,Predicted_Delay,Delay_Improvement,New_STD_Time
-2,0,4,0,20.910823134361163,11.946319722781691,04:00
-2,15,4,15,21.24281972203722,11.614323135105636,04:15
-2,30,4,30,21.574816309713274,11.28232654742958,04:30
-1,0,5,0,22.861548312562093,9.995594544580761,05:00
-1,15,5,15,23.193544900238145,9.66359795690471,05:15
-1,30,5,30,23.525541487914193,9.331601369228661,05:30
0,0,6,0,31.86950088094101,0.9876419762018429,06:00
0,15,6,15,32.201497468617056,0.655645388525798,06:15
0,30,6,30,32.533494056293115,0.3236488008497389,06:30
1,0,7,0,31.110411377793273,1.746731479349581,07:00
1,15,7,15,31.442407965469325,1.414734891673529,07:15
1,30,7,30,31.774404553145366,1.0827383039974876,07:30
2,0,8,0,30.351321874645524,2.5058209824973297,08:00
2,15,8,15,30.683318462321573,2.173824394821281,08:15
2,30,8,30,31.01531504999763,1.8418278071452256,08:30
